Date,Close/Last,Volume,Open,High,Low
08/01/2024,$189.66,4085354,$192.81,$193.635,$188.29
07/31/2024,$192.14,5558405,$191.00,$194.5499,$189.99
07/30/2024,$191.04,3064978,$191.48,$192.77,$189.09
07/29/2024,$191.50,3336806,$193.18,$193.29,$189.18
07/26/2024,$191.75,4294875,$190.51,$193.57,$189.622
07/25/2024,$191.98,9532802,$186.80,$196.26,$185.30
07/24/2024,$184.02,6962071,$184.14,$185.0714,$183.145
07/23/2024,$184.10,2180225,$184.36,$185.38,$183.01
07/22/2024,$184.15,2488525,$183.40,$184.97,$182.86
07/19/2024,$183.25,3816039,$186.33,$187.00,$181.95
07/18/2024,$185.22,3487808,$186.64,$189.47,$185.10
07/17/2024,$187.45,4225302,$185.44,$187.94,$185.07
07/16/2024,$185.81,3374526,$184.67,$186.60,$184.52
07/15/2024,$182.88,2925794,$183.38,$184.90,$182.60
07/12/2024,$182.83,4785565,$178.56,$184.16,$178.50
07/11/2024,$178.31,2807145,$177.65,$179.44,$176.62
07/10/2024,$177.84,3462182,$176.60,$178.22,$174.45
07/09/2024,$176.48,2513305,$177.60,$177.70,$175.58
07/08/2024,$177.64,2503038,$176.41,$178.59,$176.01
07/05/2024,$176.02,2085970,$175.74,$176.09,$173.95
07/03/2024,$175.73,1649049,$177.88,$177.98,$175.17
07/02/2024,$177.30,2883275,$174.84,$177.485,$174.32
07/01/2024,$175.10,3320961,$173.45,$176.46,$173.38
06/28/2024,$172.95,4193459,$170.85,$173.46,$170.53
06/27/2024,$170.85,2894001,$171.12,$172.50,$170.48
06/26/2024,$171.87,2779016,$171.28,$172.68,$170.41
06/25/2024,$172.60,4119267,$175.14,$175.7526,$171.42
06/24/2024,$175.01,4864735,$175.00,$178.4599,$174.15
06/21/2024,$172.46,10182030,$173.97,$174.96,$171.40
06/20/2024,$173.92,4723078,$174.08,$174.28,$171.22
06/18/2024,$170.55,3386442,$170.00,$170.75,$168.38
06/17/2024,$169.50,3239815,$168.76,$169.72,$167.50
06/14/2024,$169.21,2777717,$168.29,$169.47,$167.23
06/13/2024,$169.12,3525717,$169.01,$169.59,$168.335
06/12/2024,$169.00,3522698,$171.35,$172.47,$168.101
06/11/2024,$169.32,2951251,$169.98,$170.00,$166.81
06/10/2024,$170.38,3444684,$169.55,$170.76,$168.88
06/07/2024,$170.01,3475495,$168.18,$171.305,$168.06
06/06/2024,$168.20,2207263,$167.38,$168.44,$166.80
06/05/2024,$167.38,3049377,$166.41,$167.79,$165.78
06/04/2024,$165.81,2594203,$164.60,$166.40,$163.88
06/03/2024,$165.28,2776058,$166.54,$166.78,$163.53
05/31/2024,$166.85,4905002,$165.70,$166.97,$163.84
05/30/2024,$165.63,3852963,$165.56,$166.73,$164.23
05/29/2024,$167.05,4206576,$168.00,$168.63,$166.21
