Date,Close/Last,Volume,Open,High,Low
02/04/2025,$264.46,6077652,$260.00,$265.25,$258.1233
02/03/2025,$260.73,8408523,$252.40,$262.06,$251.84
01/31/2025,$255.70,7203519,$256.05,$257.235,$251.89
01/30/2025,$258.27,15381890,$250.00,$261.80,$247.01
01/29/2025,$228.63,7079804,$225.62,$229.47,$223.73
01/28/2025,$225.66,4485429,$224.32,$225.77,$221.77
01/27/2025,$224.13,4898355,$222.19,$224.30,$219.84
01/24/2025,$224.80,3233293,$225.27,$226.8104,$223.80
01/23/2025,$226.04,3619651,$223.94,$226.04,$223.15
01/22/2025,$223.26,4759490,$221.98,$224.40,$220.35
01/21/2025,$224.26,3982203,$224.99,$227.45,$222.8302
01/17/2025,$224.79,5506837,$225.955,$225.955,$223.64
01/16/2025,$222.66,3329060,$219.69,$222.68,$217.38
01/15/2025,$220.03,2951825,$220.87,$221.6761,$218.01
01/14/2025,$217.75,3485829,$218.00,$218.125,$214.61
01/13/2025,$217.40,3716816,$217.89,$219.59,$214.75
01/10/2025,$219.75,3570497,$222.00,$222.43,$216.80
01/08/2025,$223.18,2619768,$223.91,$224.90,$220.83
01/07/2025,$223.96,3299701,$223.35,$226.711,$222.83
01/06/2025,$222.67,2847128,$223.00,$224.35,$220.75
01/03/2025,$222.65,3873578,$220.55,$223.66,$220.55
01/02/2025,$219.94,2579498,$221.82,$222.49,$217.60
12/31/2024,$219.83,2270512,$220.72,$221.0493,$218.44
12/30/2024,$220.25,2095565,$220.54,$221.5942,$217.6523
12/27/2024,$222.78,1810760,$223.14,$224.42,$221.4054
12/26/2024,$224.89,3287238,$223.31,$225.40,$222.55
12/24/2024,$224.41,1186216,$222.27,$224.4446,$221.5428
12/23/2024,$221.93,2988137,$222.81,$223.74,$221.08
12/20/2024,$223.36,12423200,$222.73,$227.6847,$221.68
12/19/2024,$223.92,4430120,$224.42,$226.20,$222.98
12/18/2024,$220.17,4152517,$229.035,$229.035,$220.03
12/17/2024,$228.97,3651346,$229.23,$230.20,$227.62
12/16/2024,$229.33,3610257,$230.73,$231.03,$226.88
12/13/2024,$230.82,2757683,$232.25,$233.775,$230.26
12/12/2024,$232.26,4515741,$230.66,$233.89,$230.38
12/11/2024,$230.12,3872680,$232.69,$233.00,$229.13
12/10/2024,$231.72,4769531,$228.40,$234.39,$227.80
12/09/2024,$230.00,4970449,$238.00,$239.35,$228.91
12/06/2024,$238.04,4028430,$234.43,$238.38,$234.22
12/05/2024,$234.75,4791116,$233.55,$236.52,$233.46
12/04/2024,$233.49,4104195,$230.00,$233.74,$229.35
12/03/2024,$229.00,3163815,$227.24,$229.11,$226.67
12/02/2024,$227.39,2656181,$227.50,$228.38,$225.51
11/29/2024,$227.41,2640253,$227.75,$230.36,$227.19
11/27/2024,$226.92,2995121,$228.83,$229.19,$224.27
11/26/2024,$228.83,4449543,$226.73,$228.98,$225.5115
11/25/2024,$226.13,7189260,$223.35,$226.42,$222.65
11/22/2024,$222.97,5320740,$223.35,$227.20,$220.89
11/21/2024,$222.40,5236434,$215.81,$222.63,$215.2701
11/20/2024,$214.60,4562901,$211.00,$214.96,$209.7725
11/19/2024,$210.25,2860746,$206.50,$210.33,$206.19
11/18/2024,$208.09,3406045,$207.00,$208.415,$205.3701
